id,disease_name,recommended_product,product_image_url,purchase_url
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All In 1 Organic Fungicide,https://agribegri.com/productimage/a2e9d5da247ced1ad25da76ce929a4da-01-30-21-11-01-19.webp,https://agribegri.com/products/buy-organic-fungicide-online--organic-fungicide-with-best-rate-.php
28,Strawberry___healthy,Swiss Green Organic Plant Growth Promoter Strawberry Fertilizer,https://m.media-amazon.com/images/I/51n-MW8tFFL.jpg,https://www.amazon.in/Organic-Growth-Promoter-Strawberry-Certified/dp/B0819ZHQZW
29,Tomato___Bacterial_spot,Cureal Best Fungicide & Bactericide,https://agribegri.com/productimage/21346459271740486452.webp,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php?srsltid=AfmBOopiyuk80ZYLjT3206elZJqN6zxuKZPlXp6Eg-QKGoI7om2DirCL
30,Tomato___Early_blight,Nativo Fungicide,https://cdn.shopify.com/s/files/1/0722/2059/files/bayer-nativo-fungicide-file-9643.webp?v=1737473429,https://www.bighaat.com/products/bayer-nativo-fungicide?srsltid=AfmBOoovYnrXuQYu3-Ckc73_YgVb_4dK5L5nlfvLswYhVXRQs8vOoC_u
31,Tomato___Late_blight,Acrobat Fungicide,https://cdn.shopify.com/s/files/1/0722/2059/files/acrobat-fungicide-file-5119.jpg?v=1737431338,https://www.bighaat.com/products/acrobat-fungicide?srsltid=AfmBOorRmAq2-iiD0CsaqM6kPU2IrRlRjyZ7QnSaBMbvLXs7Z3H-033k
32,Tomato___Leaf_Mold,Virus Special (Set Of Immuno 1 ltr + Enviro 1 ltr),https://agribegri.com/productimage/17561702671749800686.webp,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php?srsltid=AfmBOoq-QM2_AelKzVj-zbVOsEy8AMyl-YH30HFB1ec3Zv2LAugkluGC
33,Tomato___Septoria_leaf_spot,Roko Fungicide,"https://m.media-amazon.com/images/I/6151NfWjyIL._AC_UF350,350_QL50_.jpg",https://www.amazon.in/BIOSTADT-Roko-Thiphanate-Methyl-500/dp/B074VX99D5
34,Tomato___Spider_mites Two-spotted_spider_mite,Omite Insecticide,https://cdn.shopify.com/s/files/1/0722/2059/files/omite-insecticide-file-5289.webp?v=1737471770,https://www.bighaat.com/products/omite-insecticide?srsltid=AfmBOorLUK3yXFarANMyL5M4MVRPEVcgUHk1shGUKaZaxI49h6OUJLC4
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide For Plants Disease Control Pesticide,https://www.katyayaniorganics.com/wp-content/uploads/2022/06/1kgBoxPropi.webp,https://www.katyayaniorganics.com/product/katyayani-propineb-70-wp-fungicide/?srsltid=AfmBOoqx001DVfnlKd8KFnVanALfyV07UfzfTK5lpvQHox0fEluzyp_D
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistar Top Fungicide,https://agroorbit.s3.ap-south-1.amazonaws.com/uploads/all/doqJi8iTJM1famKq5nv793O2RwQIySWE8z4HWx2S.png,https://agroorbit.com/product/amistor-top?srsltid=AfmBOorSlo95Hbs6ZG0EXZUiRC12zp_yE8H8nG3hOAt_QImNG4kZp7-t
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://dujjhct8zer0r.cloudfront.net/media/prod_image/thumb/thumb222255_16346287941742467811.webp?scale.width=56,https://agribegri.com/products/viricide-online-.php?srsltid=AfmBOorkxHkxadG1fifFoDIPj_4c0PH6X3I8Or6jIhjagKCR76Ey_oRd
38,Tomato___healthy,"Tomato Fertilizer Organic, For Home, Balcony, Terrace & Outdoor Gardening",https://casadeamor.in/cdn/shop/files/tomatofertilizer-900gm.jpg?v=1707295552,https://casadeamor.in/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?srsltid=AfmBOoq3jCwcMqNfdU8w5Y9m87-yMZLwt4BssbAQ325g9RsZVE48-yr4
